Item ID,File,Line(s),Context/Description,Category
19,DonationTierManager.cpp,270,Donation gift item index,Item
47,Item.cpp / doFuncMemPos.cpp,"various, 34, 138",Memory scroll - RvR not usable / mem pos check,Item
84,Item.cpp / hardcoding.cpp / Server.cpp,"various, 1393, 4748",Normal refine stone,Item
85,Item.cpp / hardcoding.cpp,various,Special refine stone / created in hardcoding,Item
141,Item.cpp,,Single dungeon ticket 2,Item
142,Item.cpp,,Single dungeon ticket 1,Item
725,hardcoding.cpp,"701, 709",Hardcoded item find/create,Item
757,hardcoding.cpp,"745, 753",Hardcoded item find/create,Item
760,doFuncEvent.cpp,"420, 487",Event item find,Item
761,doFuncEvent.cpp,"428, 568",Event item find,Item
762,doFuncEvent.cpp,"436, 600",Event item find,Item
763,doFuncEvent.cpp,"444, 682",Event item find,Item
764,doFuncEvent.cpp,"452, 714",Event item find,Item
765,doFuncEvent.cpp,"460, 796",Event item find,Item
842,doFuncEtc.cpp,438,Item find check,Item
843,doFuncEtc.cpp,462,Item find check,Item
844,doFuncRebirth.cpp,346,EXP recovery scroll,Item
845,doFuncRebirth.cpp,339,Skill point recovery scroll,Item
846,Item.cpp / doFuncRebirth.cpp,various,Rebirth item,Item
855,Item.cpp,,Recovery catalog item check,Item
857,Item.cpp / doFuncWarp.cpp,"various, 365, 458",Zone move stone - RvR not usable / warp check,Item
858,Item.cpp / doFuncWarp.cpp,"various, 238, 260",Summon stone - RvR not usable / warp check,Item
876,doFuncEvent.cpp,"1298, 1426",Event item find,Item
877,doFuncEvent.cpp,"1299, 1427",Event item find,Item
878,doFuncEvent.cpp,"1300, 1428",Event item find,Item
879,doFuncEvent.cpp,"1301, 1429",Event item find,Item
880,doFuncEvent.cpp,"1302, 1430",Event item find,Item
881,doFuncEvent.cpp,1341,Event item find,Item
948,hardcoding.cpp,776,Hardcoded item find,Item
1120,doFuncEtc.cpp,439,Item find check,Item
1298,Item.cpp,,Party buff 1 day ticket - RvR not usable,Item
1299,Item.cpp,,Party buff 7 day ticket - RvR not usable,Item
1300,Item.cpp,,Party buff 30 day ticket - RvR not usable,Item
1413,Item.cpp,,Party buff 3 hour ticket - RvR not usable,Item
1415,Item.cpp,,Party buff 1 hour ticket - RvR not usable,Item
